orphacode,Prevalence,Inheritance,Age of onset,Synonym
101150,1-9 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive Segawa syndrome
101151,-, - ,,DYT14
101111,<1 / 1 000 000,Autosomal dominant,All ages,SCA25
101206,-, - ,"Antenatal, Neonatal","APV/ADA, Fallot type"
101336,-, - ,,OBSOLETE: Kenya tick-bite fever
101337,-, - ,,
101335,-, - ,,
101334,-,Not applicable,,
101338,-, - ,,
101330,1-9 / 100 000,"Autosomal dominant, Multigenic/multifactorial",Adult,PCT
101351,-,Autosomal dominant,,
101356,-, - ,,
101932,-, - ,,
101112,<1 / 1 000 000,Autosomal dominant,Adult,SCA26
101685,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive","Childhood, Infancy",Rare NSID
101433,-, - ,,
101937,-, - ,,
101936,-, - ,,
101939,-, - ,,
101934,-, - ,,
101940,-, - ,,
101938,-, - ,,
101941,-, - ,,
101435,-, - ,,Rare genetic ophthalmologic disease
101945,-, - ,,
101949,-, - ,,
101943,-, - ,,
101950,-, - ,,
101952,-, - ,,
101953,-, - ,,
101954,-, - ,,
101956,-, - ,,
101944,-, - ,,
101955,-, - ,,
101958,-, - ,,
101957,-, - ,,
101960,-, - ,,
101959,1-5 / 10 000,Multigenic/multifactorial,All ages,CPAI
101963,-, - ,,
101978,-, - ,,
101982,-, - ,,
101980,-, - ,,
101972,-, - ,,
101987,-, - ,,Constitutional neutropenia
101988,-, - ,,
101977,-, - ,,
101995,-, - ,,
101992,-, - ,,
101985,-, - ,,
102009,-, - ,,Lissencephaly type 1
101998,-, - ,,
102006,-, - ,All ages,
102000,-, - ,,
102003,-, - ,,
102005,-, - ,,
102012,-, - ,,Pure HSP
101997,1-9 / 100 000, - ,,
102002,-, - ,,
102010,-, - ,,
102011,-, - ,,
102014,-,Autosomal dominant,,
102015,-,Autosomal recessive,,
102025,-, - ,,
102021,-, - ,,Rickettsiae disease
102069,-, - ,,OBSOLETE: Cholestatic hepatic amyloidosis
102022,-, - ,,Spotted fever rickettsiae disease
102013,-, - ,,Complex HSP
102237,-, - ,,
102023,-, - ,,Typhus-group rickettsiae disease
102020,-, - ,,Autosomal deletion
102024,-, - ,,HHV-8-related disorder
102284,-, - ,,OBSOLETE: MCA/variable MR
102373,-, - ,,
102379,-, - ,,AML and myelodysplastic syndromes related to alkylating agent
102369,-, - ,,
102381,-, - ,,AML and myelodysplastic syndromes related to topoisomerase type 2 inhibitor
102724,-, - ,"Adolescent, Adult, Childhood",AML with t(8;21)(q22;q22) translocation
103907,Unknown, - ,Childhood,Maltase-glucoamylase deficiency
103908,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Antenatal, Neonatal",Na-H exchanger 3 deficiency
103909,Unknown,Autosomal dominant,"Adolescent, Adult",Isolated trehalose intolerance
103910,<1 / 1 000 000, - ,"Infancy, Neonatal",
103915,-, - ,,OBSOLETE: IPSID
103912,-, - ,,
102285,-, - ,,MCA without intellectual disability
102283,-, - ,,MCA/MR
103916,-, - ,,
103917,-, - ,,
103918,Unknown, - ,Childhood,TCP
103919,-,Not applicable,,AIP
103920,-, - ,,
104004,-, - ,,
104003,-, - ,,
104005,-, - ,,
104013,-, - ,,
104011,-, - ,,Rare intestinal tumor
104009,-, - ,,
104006,-, - ,,
104007,-, - ,,
104010,-, - ,,
104012,-, - ,,
104008,1-9 / 100 000, - ,,
104075,-,Not applicable,Adult,Adenocarcinoma of the small bowel
104076,-, - ,,
104077,-,Unknown,,
108959,-, - ,,
108961,-, - ,,
108965,-, - ,,
108969,-, - ,,
108971,-, - ,,
108973,-, - ,,
108963,-, - ,,
108977,-, - ,,
108985,-, - ,,
108987,-, - ,,
104078,-, - ,,
108979,-, - ,,
108995,-, - ,,
108993,-, - ,,
108967,-, - ,,
108999,-, - ,,
108991,-, - ,,
108989,-, - ,,
108997,-, - ,,
117569,-, - ,,
117573,-, - ,,
109011,-, - ,,
109007,-, - ,,
137583,1-5 / 10 000,Not applicable,"Adult, Elderly",VIN
137586,-, - ,,OBSOLETE: HSV keratitis
137577,1-9 / 100 000,Not applicable,"Infancy, Neonatal",HIE
109009,-, - ,,
137593,-, - ,,
137596,Unknown,Not applicable,"Adult, Childhood",Neurotrophic keratitis
137599,1-9 / 100 000,Not applicable,All ages,
137617,-, - ,,Nephrogenic fibrosing dermopathy
137602,-, - ,,
137608,-,Not applicable,Neonatal,SOLAMEN syndrome
137605,Unknown,Autosomal dominant,"Childhood, Infancy, Neonatal",Nonmosaic Legius syndrome
137622,<1 / 1 000 000, - ,"Infancy, Neonatal",
137634,<1 / 1 000 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",
137653,-, - ,,Kelly-Kirson-Wyatt syndrome
137658,-, - ,,Woods-Crouchman-Huson syndrome
137625,<1 / 1 000 000,Autosomal recessive,Childhood,Glycogenosis due to muscle and heart glycogen synthase deficiency
137628,<1 / 1 000 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",
137639,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Ataxia-delayed dentition-hypomyelination syndrome
137667,Unknown,"Autosomal dominant, Not applicable","Infancy, Neonatal",CM-AVM
137631,<1 / 1 000 000, - ,Infancy,
137672,-, - ,,
137678,<1 / 1 000 000,Autosomal dominant,"Adolescent, Childhood","Czech dysplasia, metatarsal type"
137675,<1 / 1 000 000,"Autosomal recessive, Unknown, X-linked dominant","Infancy, Neonatal",Foamy myocardial transformation of infancy
137698,1-5 / 10 000,Not applicable,All ages,CMV disease in patients with impaired cell mediated immunity deemed at risk
137754,<1 / 1 000 000,Autosomal recessive,Childhood,ACY1D
137776,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",LCCS2
137686,1-5 / 10 000,Not applicable,Adult,
137681,<1 / 1 000 000,Autosomal recessive,Neonatal,Hepatoencephalopathy due to COXPD1
137783,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",LCCS3
137810,-, - ,,PLCNA
137814,-, - ,,
137817,Unknown,Not applicable,All ages,Adhesive arachnoiditis
137831,<1 / 1 000 000,X-linked dominant,"Infancy, Neonatal",OPHN1 syndrome
137820,-, - ,,Endometriosis outside pelvis
137807,Unknown,"Autosomal dominant, Not applicable",All ages,PLCA
137862,-, - ,,Duodenal and extrahepatic biliary atresia-hypoplastic pancreas-intestinal malrotation syndrome
137839,Unknown, - ,Adolescent,Lemierre postanginal sepsis
137834,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",Ter Haar syndrome
137867,<1 / 1 000 000,"Not applicable, X-linked recessive","Adolescent, Adult, Childhood",MMND
137893,-,Autosomal recessive,,Male infertility due to macrozoospermia
137871,-, - ,,OBSOLETE: Laminopathy with severe metabolic syndrome and myopathy
137888,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",Question mark ear syndrome
137902,-, - ,,
137908,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",COXPD5
137898,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",LBSL
137911,-, - ,,
137914,1-9 / 100 000,Not applicable,"Childhood, Infancy, Neonatal",
137917,1-9 / 100 000,Not applicable,"Infancy, Neonatal",
137920,Unknown,Not applicable,"Infancy, Neonatal",
137905,-, - ,,
137923,-, - ,,
137929,-, - ,,
137926,-, - ,"Infancy, Neonatal",
137932,-, - ,Neonatal,Congenital vocal cord paralysis
137935,-,Not applicable,Infancy,Laryngotracheal angioma
138041,-, - ,,Pierre Robin sequence associated with collagen disease
138044,Unknown, - ,,
138055,-, - ,,Pierre Robin sequence associated with bone disease
138059,-, - ,,Teratogenic Pierre Robin sequence
138069,-, - ,,OBSOLETE: Sucking/swallowing disorder not related with Pierre Robin sequence
138072,-, - ,,
138076,-, - ,,
138080,-, - ,,
138084,-, - ,,
138066,-, - ,,OBSOLETE: Pierre Robin sequence associated with miscellaneous anomalies
138063,-, - ,,OBSOLETE: Syndrome associated with Pierre Robin sequence
138050,-, - ,,Pierre Robin sequence associated with branchial archs anomalies
138095,-, - ,,
138101,-, - ,,
138047,-, - ,,Pierre Robin sequence associated with a chromosomal anomaly
138104,-, - ,,
138115,-, - ,,
138112,-, - ,,
138109,-, - ,,
139009,-, - ,,
138221,-, - ,,
138118,-, - ,,
139006,-, - ,,
139018,-, - ,,
139015,-, - ,,
139021,-, - ,,
139024,-, - ,,
139030,-, - ,,
139036,-, - ,,
139039,-, - ,,
139042,-, - ,,
139380,-, - ,,OBSOLETE: NADH-cytochrome b5reductase deficiency type 2
139390,-, - ,"Infancy, Neonatal",Isolated craniosynostosis
139393,-, - ,,
139027,-, - ,,
139033,-, - ,,
139396,Unknown,X-linked recessive,All ages,X-CALD
139399,-,X-linked recessive,Adult,
139373,-, - ,,OBSOLETE: NADH-cytochrome b5reductase deficiency type 1
139402,Unknown,Not applicable,All ages,DRESS syndrome
139406,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Combined prosaposin deficiency
139414,<1 / 1 000 000, - ,"Infancy, Neonatal",
139420,-, - ,,OBSOLETE: Disease-associated transverse myelitis
139012,-, - ,,Rare skeletal development disorder
139423,Unknown,Not applicable,All ages,
139417,-, - ,"Adolescent, Adult, Childhood, Elderly, Infancy",
139411,<1 / 1 000 000, - ,"Adolescent, Adult",
139426,<1 / 1 000 000, - ,Childhood,POMA
139436,Unknown,Not applicable,Adult,Lipoid dermatoarthritis
139444,<1 / 1 000 000,Unknown,"Infancy, Neonatal",
139441,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Childhood, Infancy, Neonatal",H-ABC
139431,Unknown,Unknown,Childhood,EMA
139450,<1 / 1 000 000,Autosomal dominant,No data available,Balikova-Vermeesch syndrome
139447,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",
139477,-, - ,,
139455,<1 / 1 000 000,Autosomal recessive,All ages,"Retinopathy, Burgess-Black type"
139466,<1 / 1 000 000,Autosomal recessive,Antenatal,"Sex reversion-kidneys, adrenal and lung dysgenesis syndrome"
139471,<1 / 1 000 000,Autosomal dominant,Antenatal,Bakrania-Ragge syndrome
139480,<1 / 1 000 000,Autosomal recessive,Childhood,SPG39
139498,-, - ,,NON RARE IN EUROPE: Classic hemochromatosis
139485,<1 / 1 000 000,Autosomal recessive,Childhood,ARCA2
139507,-,Not applicable,"Adult, Elderly",African iron overload
139474,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Dup(17)(q11.2)
139491,-, - ,,OBSOLETE: Ferroportin disease
139515,<1 / 1 000 000,Autosomal recessive,"Adult, Childhood, Infancy",CMT4J
139512,<1 / 1 000 000,Autosomal dominant,Adult,
139525,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",Distal spinal muscular atrophy type 2
139518,-,Autosomal dominant,"Adolescent, Adult, Childhood",Autosomal dominant distal juvenile spinal muscular atrophy type 1
139536,-,Autosomal dominant,"Adolescent, Adult, Childhood",Distal hereditary motor neuropathy type V
139552,<1 / 1 000 000,Autosomal recessive,Childhood,Autosomal recessive distal spinal muscular atrophy type 2
139547,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive distal spinal muscular atrophy type 3
139557,<1 / 1 000 000,X-linked recessive,"Adolescent, Adult, Childhood, Infancy",DSMAX
139578,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",Mutilating HSAN with spastic paraplegia
139564,<1 / 1 000 000,Autosomal dominant,Adult,HSAN with cough and gastroesophageal reflux
139573,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",HSAN with deafness and global delay
139589,-,Autosomal dominant,"Adolescent, Adult, Childhood",Distal spinal muscular atrophy with vocal cord paralysis
139583,<1 / 1 000 000,X-linked recessive,Childhood,X-linked HSAN with deafness
140286,1-5 / 10 000,Not applicable,"Adolescent, Adult, Childhood, Elderly",
140428,-, - ,,
140432,-, - ,,
140450,-, - ,,OBSOLETE: HMSN
140436,-,Autosomal recessive,,Intraosseous hemangioma
140162,-, - ,,
140453,-,Autosomal dominant,,
140462,-, - ,,
140459,-,Autosomal recessive,,
140456,-,Autosomal dominant,,
140471,-, - ,,HSAN
140465,-,Autosomal dominant,,Autosomal dominant dHMN
140468,-,Autosomal recessive,,Autosomal recessive distal spinal muscular atrophy
140474,-,Autosomal dominant,,
140477,-,Autosomal recessive,,
140500,-, - ,,
140481,<1 / 1 000 000,Autosomal dominant,Adult,
140503,-, - ,,
140905,-,Autosomal recessive,No data available,Hyperlipidemia due to hepatic lipase deficiency
140908,-,Autosomal dominant,Neonatal,
140896,Unknown,Not applicable,All ages,SARS
140922,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",Autosomal recessive limb-girdle muscular dystrophy type 2J
140917,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Teunissen-Cremers syndrome
140653,-, - ,,
140874,Unknown,"Autosomal recessive, X-linked recessive","Infancy, Neonatal",JSRD
140927,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",SeLFNIE
140941,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
140933,<1 / 1 000 000, - ,Childhood,
140936,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",Ectodermal dysplasia-acanthosis nigricans syndrome
140952,<1 / 1 000 000,X-linked dominant,"Infancy, Neonatal",STAR syndrome
140949,1-9 / 100 000,Not applicable,All ages,
140944,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",Congenital lipomatous overgrowth-vascular malformation-epidermal nevi-spinal anomaly syndrome
140957,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly, Infancy",
140963,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",Neonatal,Bilateral microtia-hearing loss-cleft palate syndrome
140966,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy","PPK, Nagashima type"
140976,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",Retinitis pigmentosa-hypopituitarism-nephronophthisis-skeletal dysplasia syndrome
140969,<1 / 1 000 000,Autosomal recessive,Infancy,Conorenal syndrome
141000,<1 / 1 000 000,Not applicable,Neonatal,OFD11
140989,Unknown,Not applicable,All ages,Isolated angiitis of the central nervous system
141013,-, - ,,First branchial cleft cyst
141007,<1 / 1 000 000,Autosomal recessive,"Antenatal, Infancy, Neonatal",Oral-facial-digital syndrome type 9
141022,-, - ,,Second branchial cleft cyst
141037,-, - ,,Fourth branchial cleft cyst
141046,-, - ,,Dermoid cyst of the neck
141030,-, - ,,Third branchial cleft cyst
141051,-, - ,,Dermoid cyst of the face
141061,-, - ,,
141064,-, - ,,Isolated lower lip pits
141067,-, - ,,
141074,-,Autosomal dominant,Neonatal,External auditory canal stenosis/atresia
141071,-, - ,,Enteric duplication cyst of the tongue
141077,<1 / 1 000 000,Not applicable,"Antenatal, Neonatal",Oropharyngeal teratoma
141083,Unknown,Not applicable,"Adult, Infancy, Neonatal",Dacryocystocele
141091,Unknown,Not applicable,"Antenatal, Neonatal",Double nose
141096,<1 / 1 000 000,Not applicable,"Antenatal, Neonatal",Accessory nostril
141099,Unknown,Not applicable,"Antenatal, Infancy, Neonatal",Congenital tubular nose
141107,-, - ,,Teratoma of the nasopharynx
141103,-, - ,,Nasal dermoid sinus cyst
140997,-, - ,,OFD
141136,-, - ,,First branchial arch syndrome
141112,-,Not applicable,,Nasal glioma
141127,-,Not applicable,"Infancy, Neonatal",
141124,-, - ,,
141121,-, - ,Neonatal,
141115,-, - ,,
141118,-,Unknown,,
141132,1-9 / 100 000,Not applicable,"Antenatal, Neonatal",OAV spectrum
141145,-,Not applicable,"Antenatal, Infancy, Neonatal",Hemifacial hypertrophy
141148,<1 / 1 000 000, - ,Neonatal,
141174,-, - ,Neonatal,Arteriovenous malformation of mandible
141168,-, - ,Neonatal,
141163,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",Cosack syndrome
141152,Unknown, - ,"Infancy, Neonatal",
141171,-, - ,Neonatal,Arteriovenous malformation of maxilla
141184,Unknown,Not applicable,Antenatal,RICH
141179,Unknown,Not applicable,Antenatal,NICH
141194,-,Not applicable,"Childhood, Infancy",CAMS1
141189,-, - ,,CAMS
141209,-,Not applicable,"Infancy, Neonatal",Diffuse lymphangioma
141214,-, - ,Neonatal,Isolated congenital maxillomandibular fusion
141199,-,Not applicable,"Childhood, Infancy",CAMS3
141219,-, - ,,
141239,-, - ,,
141234,-, - ,"Antenatal, Neonatal",Midline facial cleft
141242,-, - ,"Antenatal, Neonatal",Isolated cleft of the ala nasi
141229,-, - ,,Craniofacial cleft
141258,<1 / 1 000 000,Unknown,"Antenatal, Neonatal",
141261,-, - ,"Antenatal, Neonatal",
141265,-, - ,"Antenatal, Neonatal",
141253,1-9 / 1 000 000, - ,"Infancy, Neonatal",Orbitofacial cleft
141330,-, - ,,OBSOLETE: Degner syndrome
141327,-, - ,,OBSOLETE: OFD12
141276,-,Autosomal dominant,"Antenatal, Neonatal",Commissural facial cleft
141288,-,Not applicable,,
141269,-, - ,"Antenatal, Neonatal",
141291,6-9 / 10 000,Multigenic/multifactorial,"Infancy, Neonatal",
141333,<1 / 1 000 000,Unknown,"Antenatal, Neonatal",Hypogonadism-short stature-coloboma-preaxial polydactyly syndrome
155878,-, - ,,
155838,-, - ,,
155832,-, - ,,
155867,-, - ,"Antenatal, Neonatal",Tessier number 1-1 and 2-12 facial cleft
155884,-, - ,,Superior palpebral coloboma
155835,-, - ,,
155889,-, - ,,Inferior palpebral coloboma
156071,-, - ,,
155899,-, - ,,Bilateral and symmetric oto-mandibular dysplasia
156005,-, - ,,
156143,-, - ,,
156149,-, - ,,
156140,-, - ,,
155896,-, - ,,
156156,-, - ,,
156152,1-5 / 10 000, - ,,AAV
156146,-, - ,,
156165,-, - ,,
156168,-, - ,,Retinal ciliopathy due to mutation in RP1 gene
156162,-, - ,,
156159,-, - ,,Pure dystonia
156171,-, - ,,
156174,-, - ,,
156177,-, - ,,
156183,-, - ,,
156202,-, - ,,
156180,-, - ,,
156212,-, - ,,
156207,-, - ,,
156215,-, - ,,
156230,-, - ,,
156246,-, - ,,
156249,-, - ,,
156532,-, - ,,
156252,-, - ,,
156243,-, - ,,
156601,-, - ,,
156237,-, - ,,
156604,-, - ,,
156224,-, - ,,
156607,-, - ,,
156610,-, - ,,
156619,-, - ,,
156723,-, - ,,Short ribs-craniosynostosis-polysyndactyly syndrome
156629,-, - ,,
156622,-, - ,,
156731,-, - ,"Antenatal, Neonatal",
156728,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal","SEMD, MATN3-related"
156643,-, - ,,
157716,-,Autosomal recessive,Childhood,
157215,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Childhood, Infancy",HHRH
157713,-,Autosomal recessive,"Infancy, Neonatal",
157719,-,Autosomal recessive,"Adolescent, Adult",
157788,-, - ,,Hypospadias-hypertelorism-coloboma and hearing loss syndrome
157769,-,Multigenic/multifactorial,Antenatal,Incomplete situs inversus
157791,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",EHE
157794,-,Autosomal dominant,Childhood,HMPS
156638,-, - ,,
157820,<1 / 1 000 000,Autosomal recessive,"Adult, Childhood",CISS
157801,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",MSSD
157798,1-5 / 10 000,"Autosomal dominant, Multigenic/multifactorial, Unknown","Adult, Elderly",Hyperplastic polyposis syndrome
157808,-, - ,,Isolated congenital pseudarthrosis of the limbs
157823,-, - ,,
157826,1-9 / 1 000 000, - ,"Infancy, Neonatal",Congenital gingival cell tumor
157835,Unknown,Not applicable,"Adolescent, Adult, Childhood, Elderly",
157832,<1 / 1 000 000, - ,Neonatal,
157855,-, - ,,Hypoprebetalipoproteinemia-acanthocytosis-retinitis pigmentosa-pallidal degeneration syndrome
157843,-, - ,,
157846,<1 / 1 000 000,Autosomal dominant,Adult,Adult basal ganglia disease
157850,1-9 / 1 000 000,Autosomal recessive,All ages,Hallervorden-Spatz syndrome
157941,-,Autosomal dominant,Adult,Early-onset prion disease with prominent psychiatric features
157946,<1 / 1 000 000,Autosomal recessive,Childhood,HDL3
157949,-,Autosomal recessive,,CID due to RAG 1/2 deficiency
157954,<1 / 1 000 000,Autosomal recessive,Adult,Alopecia-progressive neurological defect-endocrinopathy syndrome
157980,-, - ,,
157962,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
157965,<1 / 1 000 000,Autosomal recessive,Neonatal,SCD-EDS
157973,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",L-CMD
157987,-, - ,,
157991,<1 / 1 000 000,Not applicable,"Adolescent, Adult, Childhood, Elderly",Generalized eruptive histiocytoma
